train_loss,val_loss,dice,iou,learning_rate
1.2362428796825125,1.009585764673021,0.7129052148924934,0.5544910894499885,5e-05
0.9349771746948584,0.8336525758107504,0.7804750402768453,0.6404491066932678,5e-05
0.8080147166750324,0.7181570529937744,0.8036968045764499,0.6720888879564073,5e-05
0.7007768447719404,0.6477778156598409,0.810744067033132,0.6821604371070862,5e-05
0.6328117918612352,0.5790269507302178,0.8311801883909438,0.7115818460782369,5e-05
0.5962788756213971,0.5510145425796509,0.828768425517612,0.7078853448232015,5e-05
0.5410544445265585,0.4991717040538788,0.8405437337027656,0.7252570390701294,5e-05
0.5170262442595923,0.46832916802830166,0.8437291714880202,0.7300558023982577,5e-05
0.4872174071731852,0.44465940859582687,0.8452369438277351,0.7321292757987976,5e-05
0.4582091783409688,0.4253299335638682,0.848182929886712,0.7365635765923394,5e-05
0.43644815994732417,0.42125876082314384,0.8437546888987223,0.7300066616800096,5e-05
0.4118404170470451,0.39551694525612724,0.8509170810381571,0.7407279213269552,5e-05
0.4028322825680918,0.3913880123032464,0.8483356701003181,0.7368746731016371,5e-05
0.3874605057844475,0.3648919463157654,0.8522523707813687,0.7427330878045824,5e-05
0.3703834112010785,0.354979760117001,0.8541281753116183,0.7458037998941209,5e-05
0.3650689285192917,0.35311245256000096,0.8528252508905199,0.7436408665445116,5e-05
0.35176018414212695,0.3394232624106937,0.8555014464590285,0.7477857073148092,5e-05
0.34266267694644076,0.3484036988682217,0.8501266241073608,0.7397138012780083,5e-05
0.3331489476250179,0.34049535791079205,0.8486329515775045,0.7372208502557542,5e-05
0.33501662603065147,0.33492976758215165,0.8501625061035156,0.7397102249993218,5e-05
0.32619915435563274,0.3257599009407891,0.8539713025093079,0.7454083429442512,5e-05
0.3154510846778528,0.3194219668706258,0.8557934827274747,0.7481992575857375,2.5e-05
0.30681171857599004,0.32293658124075997,0.8547463483280606,0.7465205788612366,2.5e-05
0.30702286269237744,0.3183610141277313,0.8547139697604709,0.746427509519789,2.5e-05
0.2977066780649014,0.31901586386892533,0.8551087644365098,0.7471583882967631,2.5e-05
0.29010797525519755,0.31201576855447555,0.8576268355051676,0.7509744630919563,2.5e-05
0.29046973296955453,0.31478479504585266,0.857131838798523,0.750119513935513,2.5e-05
0.28762234413801735,0.3182586994436052,0.8534525831540426,0.7445217702123854,2.5e-05
0.28374495613041206,0.31574174761772156,0.8533884353107877,0.7445240616798401,2.5e-05
0.2834357505858834,0.3087337381309933,0.8573037319713168,0.7504480944739448,2.5e-05
0.27949814676348844,0.30946896473566693,0.8563846151034037,0.7490013506677415,1.25e-05
0.275645824065849,0.3072255816724565,0.8564429812961154,0.7490953604380289,1.25e-05
0.27607457695612264,0.3113310734430949,0.8569154077106051,0.7498535248968337,1.25e-05
0.2691953426866389,0.3091609113746219,0.8556719753477309,0.7479314737849765,1.25e-05
0.2699230124256504,0.3092239416307873,0.855549070570204,0.747749023967319,6.25e-06
0.26485827787598565,0.3104475968413883,0.8553627994325426,0.7474543849627177,6.25e-06
